seq7100	seq7100
seq7102	seq7102
seq7103	seq7103
seq7104	seq7104
seq7106	seq7106
seq7106	seq7105
seq7107	seq7107
seq7107	seq43786
seq7108	seq7108
seq7109	seq7109
seq7110	seq7110
seq7111	seq7111
seq7112	seq7112
seq7112	seq15496
seq7113	seq7113
seq7114	seq7114
seq7115	seq7115
seq7116	seq7116
seq7119	seq7119
seq7120	seq7120
seq7120	seq17807
seq7120	seq23684
seq7120	seq25920
seq7120	seq42726
seq7120	seq42879
seq7120	seq44439
seq7121	seq7121
seq7122	seq7122
seq7124	seq7124
seq7125	seq7125
seq7126	seq7126
seq7127	seq7127
seq7128	seq7128
seq7129	seq7129
seq7130	seq7130
seq7131	seq7131
seq7132	seq7132
seq7133	seq7133
seq7134	seq7134
seq7134	seq7136
seq7134	seq7137
seq7134	seq7140
seq7135	seq7135
seq7135	seq7138
seq7139	seq7139
seq7141	seq7141
seq7143	seq7143
seq7144	seq7144
seq7144	seq7145
seq7144	seq8055
seq7147	seq7147
seq7154	seq7154
seq7155	seq7155
seq7156	seq7156
seq7157	seq7157
seq7158	seq7158
seq7159	seq7159
seq7160	seq7160
seq7161	seq7161
seq7162	seq7162
seq7164	seq7164
seq7165	seq7165
seq7166	seq7166
seq7167	seq7167
seq7169	seq7169
seq7170	seq7170
seq7171	seq7171
seq7172	seq7172
seq7173	seq7173
seq7174	seq7174
seq7175	seq7175
seq7176	seq7176
seq7177	seq7177
seq7178	seq7178
seq7179	seq7179
seq7180	seq7180
seq7181	seq7181
seq7181	seq7183
seq7181	seq7182
seq7184	seq7184
seq7185	seq7185
seq7185	seq7186
seq7191	seq7191
seq7192	seq7192
seq7194	seq7194
seq7195	seq7195
seq7196	seq7196
seq7197	seq7197
seq7198	seq7198
seq33101	seq33101
seq33102	seq33102
seq33103	seq33103
seq33104	seq33104
seq33105	seq33105
seq33106	seq33106
seq33107	seq33107
seq33108	seq33108
seq33109	seq33109
seq33110	seq33110
seq33110	seq33111
seq33112	seq33112
seq33114	seq33114
seq33115	seq33115
seq33116	seq33116
seq33117	seq33117
seq33118	seq33118
seq33118	seq33119
seq33120	seq33120
seq33121	seq33121
seq33123	seq33123
seq33124	seq33124
seq33125	seq33125
seq33126	seq33126
seq33127	seq33127
seq33128	seq33128
seq33129	seq33129
seq33131	seq33131
seq33136	seq33136
seq33137	seq33137
seq33137	seq684
seq33138	seq33138
seq33139	seq33139
seq33140	seq33140
seq33141	seq33141
seq33142	seq33142
seq33143	seq33143
seq33144	seq33144
seq33146	seq33146
seq33147	seq33147
seq33147	seq33148
seq33149	seq33149
seq33150	seq33150
seq33151	seq33151
seq33152	seq33152
seq33153	seq33153
seq33154	seq33154
seq33155	seq33155
seq33156	seq33156
seq33157	seq33157
seq33160	seq33160
seq33161	seq33161
seq33164	seq33164
seq33167	seq33167
seq33168	seq33168
seq33169	seq33169
seq33170	seq33170
seq33171	seq33171
seq33173	seq33173
seq33174	seq33174
seq33175	seq33175
seq33176	seq33176
seq33177	seq33177
seq33177	seq27514
seq33178	seq33178
seq33179	seq33179
seq33179	seq31485
seq33180	seq33180
seq33181	seq33181
seq33182	seq33182
seq33183	seq33183
seq33184	seq33184
seq33185	seq33185
seq33186	seq33186
seq33187	seq33187
seq33188	seq33188
seq33189	seq33189
seq33190	seq33190
seq33191	seq33191
seq33192	seq33192
seq33193	seq33193
seq33194	seq33194
seq33194	seq40879
seq33195	seq33195
seq33196	seq33196
seq33197	seq33197
seq33199	seq33199
seq8701	seq8701
seq8702	seq8702
seq8703	seq8703
seq8704	seq8704
seq8705	seq8705
seq8706	seq8706
seq8707	seq8707
seq8707	seq8708
seq8709	seq8709
seq8709	seq8710
seq8709	seq24994
seq8709	seq24995
seq8713	seq8713
seq8714	seq8714
seq8715	seq8715
seq8717	seq8717
seq8718	seq8718
seq8719	seq8719
seq8720	seq8720
seq8721	seq8721
seq8722	seq8722
seq8723	seq8723
seq8724	seq8724
seq8725	seq8725
seq8726	seq8726
seq8727	seq8727
seq8727	seq8768
seq8728	seq8728
seq8729	seq8729
seq8730	seq8730
seq8731	seq8731
seq8731	seq40826
seq8731	seq40827
seq8731	seq40790
seq8731	seq40825
seq8732	seq8732
seq8733	seq8733
seq8733	seq8734
seq8733	seq8735
seq8736	seq8736
seq8737	seq8737
seq8738	seq8738
seq8738	seq46044
seq8740	seq8740
seq8740	seq8739
seq8742	seq8742
seq8742	seq8741
seq8744	seq8744
seq8744	seq8743
seq8745	seq8745
seq8746	seq8746
seq8747	seq8747
seq8748	seq8748
seq8749	seq8749
seq8749	seq8919
seq8750	seq8750
seq8751	seq8751
seq8752	seq8752
seq8753	seq8753
seq8754	seq8754
seq8755	seq8755
seq8757	seq8757
seq8757	seq8756
seq8758	seq8758
seq8759	seq8759
seq8759	seq8760
seq8759	seq25000
seq8759	seq25001
seq8759	seq25002
seq8761	seq8761
seq8761	seq8762
seq8763	seq8763
seq8764	seq8764
seq8765	seq8765
seq8766	seq8766
seq8767	seq8767
seq8769	seq8769
seq8770	seq8770
seq8771	seq8771
seq8772	seq8772
seq8773	seq8773
seq8774	seq8774
seq8775	seq8775
seq8776	seq8776
seq8777	seq8777
seq8778	seq8778
seq8779	seq8779
seq8780	seq8780
seq8781	seq8781
seq8782	seq8782
seq8783	seq8783
seq8784	seq8784
seq8785	seq8785
seq8785	seq8787
seq8786	seq8786
seq8788	seq8788
seq8789	seq8789
seq8790	seq8790
seq8790	seq8791
seq8792	seq8792
seq8792	seq8794
seq8793	seq8793
seq8793	seq8795
seq8796	seq8796
seq8797	seq8797
seq8798	seq8798
